userName,score,at,content
Astuti Maryunani,2,2026-05-05 05:15:10,"Udah dicopot pemasangan, install ulang, mau log in keluar terus. Karena make akun lama di aplikasi lama juga out terus. Gmn ini? Mana ada transaksi yang harus sy bayar 😪😶, kenapa sekarang kalo barang tiba mau ceklist pesanan diterima nunggu tgl estimasi dulu, kacau nih, parah makin kesini. Harusnya pesanan selesai udah langsung bisa diklik, ini engga bisa."
Doni Rahmat,1,2026-05-05 05:15:01,sama aja boong dikasih diskon receh di Shopee mah. Tetep aja lebih mahal dari pada di toko offline. apalagi saya biasanya sering belanja kebutuhan warung dari shopee. tapi ternyata sekarang di shopee tak lagi ramah kantong. Harga2 produknya di mahal2in karena sellernya dipalak lewat pajak2 yg gak ngotak. belum lagi biaya layanan 2000. dikasih diskon pun ternyata jatohnya tetep mahal! malah lebih murah di offline. 🥲 semakin tidak menarik! diskonya hanya gimmmmiiik
SAMPIT Kalimantan,1,2026-05-05 05:14:46,"apk nya bagus tapi setiap tanggal kembar nya itu hock yg promo2 hp iPhone,saya udah berapa kali dapet harga 30 ribu ke atas gak pernah bisa dibayar yg setiap tanggal kembar hadiah shopee hock yaa saya ada bukti ss dan rekaman layar nya🤣"
Anggun Indriaaa,1,2026-05-05 05:14:37,Kenapa sekarang kalau di buka selalu lemot banget
Randi Gambo,5,2026-05-05 05:14:30,bagus aplikasinya
Adi Thama,5,2026-05-05 05:14:13,oke
Mohammad Ichsan,5,2026-05-05 05:13:49,ok
Irpan GT,1,2026-05-05 05:13:43,"tolong batalkan pesanan saya, saya mohon dengan sangat pihak shopee bisa membantu"
latifah sari,2,2026-05-05 05:12:54,"pliss dehhh iklan lu di apk lainn stop pin ngkkk bikinn emosi sumpah lagi enak enak nonton malah tiba tiba masuk apk shoppe,apalah aku loh udah pencet silang hati hati tetep aja masuk ke shoppe bikin emosi sumpah alhasil harus loding ulang ke apk lainn kalok iklan jangan gitu banget lahh"
Dewi Intan,5,2026-05-05 05:11:41,aku selalu dapet barang gratis terus😛 jadi💸 aman deh
Julia Anisa putri,5,2026-05-05 05:09:48,"kenapa shopee ada pembatasan cod, setahu aku gak ada tu maksimum belanja cod, trus kenapa sekarang ada ?"
Ryan Ibliz,1,2026-05-05 05:09:28,busuk.chat admin nunggu sejam
Surya Hardian,1,2026-05-05 05:08:14,"shoope,shoope mangkin lama mangkin ga jelas,pengiriman selalu di tunda2 trus sampe 2 s/d 3 hari,mangkin lama mangkin ga jelas"
Dewa Ananta,5,2026-05-05 05:07:49,sangat baik
Vava Liry,5,2026-05-05 05:07:37,belanja enak
Nana cantik,5,2026-05-05 05:04:54,bagus
Rahmad Firman,1,2026-05-05 05:02:16,menggangu pencarian playstore
Dimas Dimas,1,2026-05-05 05:01:35,lelet banget paketnya saya pesan ikan sudah lima hari kalo mati rugi 30 ribu Shopee gk jelas
Didi supriadi Supriadi,5,2026-05-05 04:59:25,mantaaaap
Sucipto Yusuf Ahmad,5,2026-05-05 04:57:06,Belanja mudah wagampang dari rumah dan tunggu dengan santai barang datang datang dianterin
Fadli,5,2026-05-05 04:54:36,Terkadang tidak sesuai ukuran yg saya psan
Yustafudin Arif,2,2026-05-05 04:53:59,"belakangan entah kenapa setelah dikirimin uang ada potongan dari shopee pay, uang awal 35 rb dikirim 100 rb jadi 125rb. ini gimana potongannya kok besar 10rb kadang 5000. banyak potongannya skr Shopee"
Dannis Store,1,2026-05-05 04:53:59,aplikasi busuk tidak stabil. saat membalas pesan masuk atau saat mengisi deskripsi produk yang akan diposting eh tiba2 otomatis beralih ke halaman pencarian. benar2 buang-buang waktu.
Diyan Pirmansah,1,2026-05-05 04:53:49,"lu benerin dah sistem pengiriman instan nya,pake layanan instan harus nya cepet sampai tapi gak sampai""sampe susah buat dapetin driver"
kocheng olen,5,2026-05-05 04:52:43,"nah cakep, sekarang udh bisa pake Qris jadi gak ribet kalo mau bayar/ cekout Pake apa aja juga"
Taufik Ismail,1,2026-05-05 04:52:37,apk ga jelas tiba tiba pengiriman di undur di ubah ubah suka hati apk sampah
Yanti Saja,5,2026-05-05 04:51:11,apk bagus
Parli Parli,5,2026-05-05 04:50:43,trimakasih shopee udah sampe barang posenan nya
Freddy Saputra,1,2026-05-05 04:50:29,"app apa ni, verifikasi wajar error trus.. benahi tu dengan baik.."
Badrun Moraxian,1,2026-05-05 04:49:35,kesalahan pada aplikasi shopee ini sangat merugikan Saya pernah membeli 2 alat pompa kecil dan 2 alat pompa besar yang besar berharga 76 k dan yang kecil berharga 45k untuk dua-duanya tapi saat paket datang yang datang yang kecil tapi harganya yang besar itu sepertinya ke error dari shopee ya bangsad banget dan yang besar harganya tetap yang besar jadi yang seharusnya saya mengeluarkan di bawah 150 k jadi saya harus lebih mengeluarkan dari 150 k dan ini termasuk merugikan saya
muhammad fatwa,1,2026-05-05 04:49:01,terakhir gw belanja barang di shopee 1. pengantarannya lama alesannya banyak 2. nyampe barangnya ada yg rusak 3. di balikin tanggal 4 katanya hari itu jga di ambil barangnya taunya ga bisa bilangnya bsk di ambil di tanggal 5 harus atur jadwal pengambilan barang LG tapi di ambil tanggal 6 jelek bgt sumpah sampe gw cancel pengembalian barang / dananya ... gw serasa di suruh pake barang rusak
Fadya Anida,4,2026-05-05 04:48:59,turunkan harga 🗿
Martono,5,2026-05-05 04:47:16,mantapp
ona nuban,5,2026-05-05 04:44:02,baik
SLAMETAE,5,2026-05-05 04:43:48,Belanja online mantull
Jarwo OiOi,5,2026-05-05 04:40:22,"pihak spaylater tolong lebih dibantu, karena pesanan sy banyak dan ga pernah makai spaylater tpi diblokir malah spinjam nya yg bisa"
Nazmi daulay,5,2026-05-05 04:39:37,"recommended untuk install apk satu ini, sangat membantu dan murah"
Ahmad Ahmad,5,2026-05-05 04:38:34,aplikasi terbaik
Syifa Anna,5,2026-05-05 04:36:47,"belanja happy gratis ongkir, mantap 👍🥰 terimakasih shopee"
Tri Yulianto,5,2026-05-05 04:36:02,Bagus
Ketut Neliyati,5,2026-05-05 04:33:09,Shopee oke
Yani Suhartiningsih,5,2026-05-05 04:31:31,sangat suka sih belanja di shopee ini..bnyak kemudahan dan spesial voucher nya juga.. terima kasih shopee
posterken ambon,3,2026-05-05 04:30:44,pinjaman sy di setujui tinggl spaylattr sj yg blom
ali khaidar,5,2026-05-05 04:29:49,sangat puas
Mardiana Diana,5,2026-05-05 04:29:07,"sangat puas,"
aprida hutasuhut,5,2026-05-05 04:28:56,"Review Shopee, Amazing Care dan Seller ramah, reponsif, di chat sering yg jawab mesin chat bot kadang berulang informasi dari chat bot jika bertanya, tlng lgsg di hubungkan dgn seller. Shopee for me The best marketpleace di hp cuman only one aplikasi saja yg di instal."
Mariyatul Kiptiyah,3,2026-05-05 04:28:37,"padah shopee udah bagus, tapi suka kebuka sendiri terus suka muncul ikln vidio pendek, padhl engga buka shopee, udh dimatiin tapi swara vidionya masih ada, jadi males deh kalo mau blanja😏😏"
S. Ritonga,5,2026-05-05 04:26:23,Shopee emang paling ok lh..
